Date,Close,Revenue,GDP
2018/5/10,97.910004,26.8,20509.23453
2018/5/11,97.699997,26.8,20509.23453
2018/5/14,98.029999,26.8,20509.23453
2018/5/15,97.32,26.8,20509.23453
2018/5/16,97.150002,26.8,20509.23453
2018/5/17,96.18,26.8,20509.23453
2018/5/18,96.360001,26.8,20509.23453
2018/5/21,97.599998,26.8,20509.23453
2018/5/22,97.5,26.8,20509.23453
2018/5/23,98.660004,26.8,20509.23453
2018/5/24,98.309998,26.8,20509.23453
2018/5/25,98.360001,26.8,20509.23453
2018/5/29,98.010002,26.8,20509.23453
2018/5/30,98.949997,26.8,20509.23453
2018/5/31,98.839996,26.8,20509.23453
2018/6/1,100.790001,26.8,20577.59286
2018/6/4,101.669998,26.8,20577.59286
2018/6/5,102.190002,26.8,20577.59286
2018/6/6,102.489998,26.8,20577.59286
2018/6/7,100.879997,26.8,20577.59286
2018/6/8,101.629997,26.8,20577.59286
2018/6/11,101.050003,26.8,20577.59286
2018/6/12,101.309998,26.8,20577.59286
2018/6/13,100.849998,26.8,20577.59286
2018/6/14,101.419998,26.8,20577.59286
2018/6/15,100.129997,26.8,20577.59286
2018/6/18,100.860001,26.8,20577.59286
2018/6/19,100.860001,26.8,20577.59286
2018/6/20,101.870003,26.8,20577.59286
2018/6/21,101.139999,26.8,20577.59286
2018/6/22,100.410004,26.8,20577.59286
2018/6/25,98.389999,26.8,20577.59286
2018/6/26,99.080002,26.8,20577.59286
2018/6/27,97.540001,26.8,20577.59286
2018/6/28,98.629997,26.8,20577.59286
2018/6/29,98.610001,26.8,20577.59286
2018/7/2,100.010002,30.1,20591.17885
2018/7/3,99.050003,30.1,20591.17885
2018/7/5,99.760002,30.1,20591.17885
2018/7/6,101.160004,30.1,20591.17885
2018/7/9,101.849998,30.1,20591.17885
2018/7/10,102.120003,30.1,20591.17885
2018/7/11,101.980003,30.1,20591.17885
2018/7/12,104.190002,30.1,20591.17885
2018/7/13,105.43,30.1,20591.17885
2018/7/16,104.910004,30.1,20591.17885
2018/7/17,105.949997,30.1,20591.17885
2018/7/18,105.120003,30.1,20591.17885
2018/7/19,104.400002,30.1,20591.17885
2018/7/20,106.269997,30.1,20591.17885
2018/7/23,107.970001,30.1,20591.17885
2018/7/24,107.660004,30.1,20591.17885
2018/7/25,110.830002,30.1,20591.17885
2018/7/26,109.620003,30.1,20591.17885
2018/7/27,107.68,30.1,20591.17885
2018/7/30,105.370003,30.1,20591.17885
2018/7/31,106.080002,30.1,20591.17885
2018/8/1,106.279999,30.1,20691.45835
2018/8/2,107.57,30.1,20691.45835
2018/8/3,108.040001,30.1,20691.45835
2018/8/6,108.129997,30.1,20691.45835
2018/8/7,108.879997,30.1,20691.45835
2018/8/8,109.489998,30.1,20691.45835
2018/8/9,109.669998,30.1,20691.45835
2018/8/10,109,30.1,20691.45835
2018/8/13,108.209999,30.1,20691.45835
2018/8/14,109.559998,30.1,20691.45835
2018/8/15,107.660004,30.1,20691.45835
2018/8/16,107.639999,30.1,20691.45835
2018/8/17,107.580002,30.1,20691.45835
2018/8/20,106.870003,30.1,20691.45835
2018/8/21,105.980003,30.1,20691.45835
2018/8/22,107.059998,30.1,20691.45835
2018/8/23,107.559998,30.1,20691.45835
2018/8/24,108.400002,30.1,20691.45835
2018/8/27,109.599998,30.1,20691.45835
2018/8/28,110.260002,30.1,20691.45835
2018/8/29,112.019997,30.1,20691.45835
